country,sex,age,citizenship,value
Serbia,Male,55-64,Foreign citizens,527
Serbia,Male,65+,National citizens,643091
Serbia,Male,65+,Foreign citizens,909
Serbia,Female,15-24,National citizens,326777
Serbia,Female,15-24,Foreign citizens,411
Serbia,Female,25-54,National citizens,1272312
Serbia,Female,25-54,Foreign citizens,6830
Serbia,Female,55-64,National citizens,466931
Serbia,Female,55-64,Foreign citizens,1757
Serbia,Female,65+,National citizens,846864
Serbia,Female,65+,Foreign citizens,935
Slovenia,Male,15-24,National citizens,101662
Slovenia,Male,15-24,Foreign citizens,10879
Slovenia,Male,25-54,National citizens,374474
Slovenia,Male,25-54,Foreign citizens,56246
Slovenia,Male,55-64,National citizens,147985
Slovenia,Male,55-64,Foreign citizens,10727
Slovenia,Male,65+,National citizens,184506
Slovenia,Male,65+,Foreign citizens,3440
Slovenia,Female,15-24,National citizens,87676
Slovenia,Female,15-24,Foreign citizens,8646
Slovenia,Female,25-54,National citizens,342142
Slovenia,Female,25-54,Foreign citizens,44911
Slovenia,Female,55-64,National citizens,148572
Slovenia,Female,55-64,Foreign citizens,6455
Slovenia,Female,65+,National citizens,234233
Slovenia,Female,65+,Foreign citizens,2619
